"
Daniel RenaudLa PresseSuivre @DanielRenaud13",2018-10-30 00:00EST,Grand Montréal
"
Gabriel BélandLa PresseSuivre @gabrielbeland",2018-10-30 05:00EST,Régional
"
Denis LessardLa PresseSuivre @denis_lessard",2018-10-30 05:00EST,Énergie et ressources
"
Katia GagnonLa Presse",2018-10-30 05:00EST,Actualités
"
Patrick LagacéLa PresseSuivre @kick1972",2018-10-30 05:00EST,Patrick Lagacé
"
Alexandre SiroisÉditorialisteLa PresseSuivre @alexandresirois",2018-10-30 05:00EST,Alexandre Sirois
"
Daniel RenaudLa PresseSuivre @DanielRenaud13",2018-10-30 06:16EST,Faits divers
"
Sara ChampagneLa PresseSuivre @SaraJournaliste",2018-10-30 06:32EST,Justice et faits divers
"
CATHERINE TRIOMPHEAgence France-PresseNew York",2018-10-30 06:37EST,États-Unis
"
La Presse canadienne",2018-10-30 06:37EST,Éducation
"
DESSY SAGITAAgence France-PresseJakarta",2018-10-30 07:00EST,Asie & Océanie
"
Denis LessardLa PresseSuivre @denis_lessard",2018-10-30 07:04EST,Grand Montréal
"
Agence France-PresseLondres",2018-10-30 07:08EST,Europe
"
Pierre-André NormandinLa PresseSuivre @PaNormandin",2018-10-30 07:19EST,Grand Montréal
"
La Presse CanadienneMontréal",2018-10-30 07:26EST,Énergie et ressources
"
YACINE LE FORESTIERAgence France-PresseBerlin",2018-10-30 07:26EST,Europe
"
Maxime BergeronLa PresseSuivre @maxbergeron",2018-10-30 07:52EST,Politique canadienne
"
Agence France-PresseTokyo",2018-10-30 07:53EST,Entreprises
"
Gabriel BélandLa PresseSuivre @gabrielbeland",2018-10-30 08:02EST,Régional
"
JÉRÔME CARTILLIERAgence France-PresseWashington",2018-10-30 08:04EST,États-Unis
"
CHRISTOPHER REYNOLDSLa Presse Canadienne",2018-10-30 08:09EST,Transports
"
JULIE CHARPENTRATAgence France-PresseSan Francisco",2018-10-30 08:57EST,Techno
"
Agence France-PresseAuckland",2018-10-30 09:04EST,Insolite
"
THOMAS URBAINAgence France-PresseNew York",2018-10-30 09:07EST,Astronomie et espace
"
La Presse",2018-10-30 09:12EST,Livres
"
SAIDU BAHAgence France-PresseFreetown",2018-10-30 09:14EST,Espèces menacées
"
La Presse",2018-10-30 09:15EST,Arts visuels
"
Luc BoulangerLa PresseSuivre @lucboulanger2",2018-10-30 09:17EST,Critiques de spectacles
"
Chantal GuyLa PresseSuivre @ChantalGuy",2018-10-30 09:23EST,Livres
"
La Presse",2018-10-30 09:28EST,Nouvelles
"
CLÉMENT ZAMPAAgence France-PresseBruxelles",2018-10-30 09:29EST,Affaires
"
Richard LabbéLa PresseSuivre @Richardlabbe",2018-10-30 09:41EST,Hockey
"
CAROLINE NELLY PERROTAgence France-PresseTunis",2018-10-30 09:44EST,Afrique
"
Mathias BrunetLa PresseSuivre @mathiasbrunet",2018-10-30 09:47EST,Hockey
"
AGENCE FRANCE-PRESSE, LA PRESSE CANADIENNE",2018-10-30 09:48EST,Marchés
"
AMAL JAYASINGHEAgence France-PresseColombo",2018-10-30 09:49EST,Asie & Océanie
"
Sophie AllardLa Presse",2018-10-30 09:52EST,Patinage de vitesse
"
La Presse CanadienneSorel-Tracy",2018-10-30 09:53EST,Faits divers
"
Marie-Eve FournierLa PresseSuivre @mevefournier",2018-10-30 09:57EST,Agroalimentaire
"
BALAZS WIZNER, PETER MURPHYAgence France-PresseBudapest",2018-10-30 09:57EST,Hongrie
"
La Presse CanadienneVancouver",2018-10-30 09:57EST,Hockey
"
Associated PressToronto",2018-10-30 10:01EST,Hockey
"
Jean-Philippe DécarieLa Presse",2018-10-30 10:03EST,Grande entrevue
"
JOHN WAWROWAssociated PressOrchard Park",2018-10-30 10:07EST,Football
"
La Presse CanadienneQuébec",2018-10-30 10:09EST,Procès
"
Agence France-PresseWashington",2018-10-30 10:16EST,Astronomie et espace
"
Agence France-PresseChicago",2018-10-30 10:16EST,Basketball
"
Agence France-PresseAden",2018-10-30 10:17EST,Moyen-Orient
"
Agence France-PresseNew Delhi",2018-10-30 10:22EST,Pollution
"
Violaine BallivyLa PresseSuivre @vioballivy",2018-10-30 10:23EST,Gourmand
"
Muriel FrançoiseCollaboration spécialeLa PresseSuivre @menues_choses",2018-10-30 10:29EST,Aménagement
"
Agence France-PresseNew York",2018-10-30 10:42EST,Entreprises
"
ISABELLE LE PAGEAgence France-PresseOLDENBOURG, Allemagne",2018-10-30 10:52EST,Europe
"
Stéphanie MorinLa Presse",2018-10-30 10:55EST,Nouvelles
"
LUC OLINGAAgence France-PresseNew York",2018-10-30 10:59EST,Entreprises
"
Iris Gagnon-ParadisLa Presse",2018-10-30 10:59EST,Restaurants
"
Chantal GuyLa PresseSuivre @ChantalGuy",2018-10-30 11:06EST,Entrevues
"
Martin VallièresLa PresseSuivre @martinvalliere",2018-10-30 11:09EST,Québec
"
Agence France-PresseNew York",2018-10-30 11:11EST,États-Unis
"
Agence France-PresseParis",2018-10-30 11:11EST,Livres
"
Agence France-PresseParis",2018-10-30 11:11EST,Livres
"
André DubucLa Presse",2018-10-30 11:12EST,Médias et télécoms
"
La Presse CanadienneKingston",2018-10-30 11:14EST,Faits divers
"
ISABELLE MASSÉLa Presse",2018-10-30 11:15EST,Services financiers
"
Francis VaillesLa PresseSuivre @fvailles",2018-10-30 11:19EST,Québec
"
JORDAN PRESSLa Presse CanadienneOttawa",2018-10-30 11:20EST,Politique canadienne
"
Agence France-PresseRome",2018-10-30 11:20EST,Arts visuels
"
Agence France-PresseAjaccio",2018-10-30 11:25EST,Europe
"
Agence France-PresseErbil",2018-10-30 11:26EST,Autres festivals de cinéma
"
Mathias BrunetLa PresseSuivre @mathiasbrunet",2018-10-30 11:30EST,Mathias Brunet
"
DONNA SPENCERLa Presse canadienneCalgary",2018-10-30 11:38EST,Autres sports
"
Marc-André LussierLa PresseSuivre @malussier",2018-10-30 11:39EST,Cinéma québécois
"
Richard DufourLa Presse",2018-10-30 11:40EST,Services financiers
"
Associated PressLondres",2018-10-30 11:50EST,Football
"
Agence France-Presse",2018-10-30 11:58EST,Actualités
"
Pascal LapointeAgence Science Presse",2018-10-30 11:59EST,En vrac
"
La Presse CanadienneLeamington",2018-10-30 12:00EST,Marchés
"
EUGENIA LOGIURATTOAgence France-PresseBrasilia",2018-10-30 12:00EST,Économie
"
JENNIE MATTHEWAgence France-PressePittsburgh",2018-10-30 12:03EST,États-Unis
"
Vincent Brousseau-PouliotLa PresseSuivre @vincentbp",2018-10-30 12:04EST,Canada
"
Richard LabbéLa PresseSuivre @Richardlabbe",2018-10-30 12:02EST,Hockey
"
Pascal LapointeAgence Science Presse",2018-10-30 12:07EST,En vrac
"
Agence France-PresseBruxelles",2018-10-30 12:17EST,Économie
"
Agence France-PresseRome",2018-10-30 12:30EST,Europe
"
STÉPHANIE MARINLa Presse Canadienne",2018-10-30 12:46EST,Santé
"
JULIEN ARSENAULTLa Presse CanadienneMontréal",2018-10-30 12:49EST,Québec
"
La Presse CanadienneToronto",2018-10-30 12:55EST,Football
"
EZZEDINE SAID, LUANA SARMINI-BUONACCORSIAgence France-PresseIstanbul",2018-10-30 12:59EST,Europe
"
Jean-François TremblayLa PresseSuivre @JFTremblay_LP",2018-10-30 13:01EST,Hockey
"
Agence France-PresseNew York",2018-10-30 13:02EST,Actualités
"
Associated PressNew York",2018-10-30 13:18EST,Musique
"
Philippe Teisceira-LessardLa PresseSuivre @Philippetei",2018-10-30 13:22EST,Justice et faits divers
"
Associated PressCorona",2018-10-30 13:24EST,Musique
"
Agence France-PresseParis",2018-10-30 13:25EST,Jeux vidéo
"
Agence France-PresseNew York",2018-10-30 13:28EST,Médias
"
LINDSEY TANNERAssociated Press",2018-10-30 13:41EST,États-Unis
"
Agence France-PresseParis",2018-10-30 13:42EST,Actualités
"
Joël-Denis BellavanceLa Presse",2018-10-30 13:42EST,Politique canadienne
"
CATHERINE TRIOMPHEAgence France-PresseNew York",2018-10-30 13:43EST,États-Unis
"
Associated Press",2018-10-30 13:43EST,Marchés
"
Agence France-PressePort-au-Prince",2018-10-30 13:54EST,Caraïbes
"
Associated PressCleveland",2018-10-30 13:56EST,Baseball
"
Agence France-PresseManille",2018-10-30 13:58EST,Asie & Océanie
"
MYLÈNE CRÊTELa Presse CanadienneOttawa",2018-10-30 13:59EST,Politique
"
La Presse CanadienneOttawa",2018-10-30 14:04EST,National
"
Joël-Denis Bellavance, Katia GagnonLa Presse",2018-10-30 14:12EST,Politique canadienne
"
Isabelle DucasLa PresseSuivre @isaducas",2018-10-30 14:18EST,Procès
"
MÉLANIE MARQUISLa Presse CanadienneOttawa",2018-10-30 14:26EST,Politique canadienne
"
JULIEN ARSENAULTLa Presse canadienneMontréal",2018-10-30 14:26EST,Entreprises
"
La Presse canadienneMontréal",2018-10-30 14:29EST,Économie
"
La Presse CanadienneDoha",2018-10-30 14:30EST,Sports
"
Associated PressEnglewood",2018-10-30 14:33EST,Football
"
PATRICE BERGERONLa Presse canadienneQuébec",2018-10-30 14:33EST,Entreprises
"
Agence France-PresseWashington",2018-10-30 14:34EST,États-Unis
"
Agence France-PresseTokyo",2018-10-30 14:43EST,Musique
"
Associated PressPhiladelphie",2018-10-30 14:48EST,Football
"
Agence France-PresseParis",2018-10-30 14:49EST,Livres
"
Luc BoulangerLa PresseSuivre @lucboulanger2",2018-10-30 14:51EST,Théâtre
"
Associated PressParis",2018-10-30 14:53EST,Tennis
"
MIKE BLANCHFIELDLa Presse CanadienneOttawa",2018-10-30 14:55EST,Actualités
"
La Presse",2018-10-30 14:37EST,Têtes d'affiche
"
LIA LÉVESQUELa Presse CanadienneMontréal",2018-10-30 15:14EST,Économie
"
CAMILLE BAS-WOHLERTAgence France-PresseCopenhague",2018-10-30 15:18EST,Europe
"
Agence France-PresseBogota",2018-10-30 15:22EST,Amérique latine
"
YANN SCHREIBERAgence France-PresseFrancfort",2018-10-30 15:24EST,Affaires
"
Pierre-André NormandinLa PresseSuivre @PaNormandin",2018-10-30 15:26EST,Grand Montréal
"
Pierre-André NormandinLa PresseSuivre @PaNormandin",2018-10-30 15:36EST,Grand Montréal
"
Agence France-PresseWashington",2018-10-30 15:42EST,Astronomie et espace
"
La Presse CanadienneParis",2018-10-30 15:43EST,Tennis
"
Agence France-PresseTuxtla Gutiérrez",2018-10-30 15:49EST,Amérique latine
"
Agence France-PresseBarcelone",2018-10-30 15:53EST,Europe
"
Associated PressBoston",2018-10-30 16:02EST,Baseball
"
PATRICE BERGERONLa Presse CanadienneQuébec",2018-10-30 16:03EST,Politique québécoise
"
Agence France-PresseWashington",2018-10-30 16:08EST,Nouvelles
"
Agence France-PresseSan Francisco",2018-10-30 16:11EST,Transports
"
Agence France-PresseNew York",2018-10-30 16:12EST,Vie de stars
"
Agence France-PresseNew York",2018-10-30 16:22EST,Marchés
"
Agence France-PresseLos Angeles",2018-10-30 16:25EST,Basketball
"
Agence France-PressePittsburgh",2018-10-30 16:37EST,États-Unis
"
JULIE CHARPENTRATAgence France-PresseSan Francisco",2018-10-30 17:01EST,Marchés
"
Vincent LaroucheLa PresseSuivre @VinceLarouche",2018-10-30 17:02EST,Actualités judiciaires
"
Agence France-PresseOttawa",2018-10-30 17:32EST,National
"
La Presse CanadienneQuébec",2018-10-30 17:38EST,Actualités judiciaires
"
Associated PressNew York",2018-10-30 17:45EST,"Biographies, récits, essais"
"
Agence France-PresseWashington",2018-10-30 17:48EST,Entreprises
"
JIM BRONSKILLLa Presse CanadienneOttawa",2018-10-30 17:52EST,National
"
Agence France-PresseParis",2018-10-30 17:56EST,Europe
"
COLIN PERKELLa Presse CanadienneToronto",2018-10-30 17:58EST,Actualités judiciaires
"
CHRISTOPHER REYNOLDSLa Presse Canadienne",2018-10-30 18:04EST,Transports
"
La Presse CanadienneQuébec",2018-10-30 18:26EST,Actualités judiciaires
"
JENNIE MATTHEW AVEC CHARLOTTE PLANTIVE À WASHINGTONAgence France-PressePittsburgh",2018-10-30 18:30EST,États-Unis
"
Agence France-PresseManagua",2018-10-30 18:48EST,Amérique latine
"
THOMAS BEAUMONTAssociated PressDes Moines",2018-10-30 19:08EST,États-Unis
"
Associated PressCambridge",2018-10-30 19:33EST,International
"
FRANCESCO FONTEMAGGIAgence France-PresseWashington",2018-10-30 19:49EST,États-Unis
"
La Presse CanadienneOttawa",2018-10-30 20:01EST,Canada
"
LOUIS GENOTAgence France-PresseRio de Janeiro",2018-10-30 20:05EST,Amérique latine
"
Agence France-PresseNew York",2018-10-30 20:31EST,États-Unis
"
Agence France-PresseCité du Vatican",2018-10-30 20:39EST,Europe
"
Agence France-PresseChicago",2018-10-30 20:52EST,États-Unis
"
La Presse CanadienneMontréal",2018-10-30 21:09EST,Régional
"
Agence France-PresseNew York",2018-10-30 21:34EST,Musique
"
Associated PressLondres",2018-10-30 21:50EST,Internet
"
JULIE CHARPENTRATAgence France-PresseSan Francisco",2018-10-30 22:09EST,Réseaux sociaux
"
La Presse CanadienneOttawa",2018-10-30 22:17EST,Économie
"
MICHEL LAMARCHELa Presse CanadienneMontréal",2018-10-30 22:34EST,Hockey
"
",2018-10-31 05:00EST,Danone
"
Danielle BonneauLa Presse",2018-10-31 08:00EST,Projets immobiliers
"
Sylvain SarrazinLa PresseSuivre @ssarrazin",2018-10-31 08:00EST,Destinations
"
Marie AllardLa PresseSuivre @AllardMarie",2018-10-31 08:00EST,En forme
"
Josée LapointeLa Presse",2018-10-31 08:56EST,Musique
"
Pierre-André NormandinLa PresseSuivre @PaNormandin",2018-10-31 00:00EST,Grand Montréal
"
Joël-Denis BellavanceLa Presse",2018-10-31 05:00EST,Politique canadienne
"
Tristan PéloquinLa PresseSuivre @TristanPeloquin",2018-10-31 05:00EST,National
"
Denis LessardLa PresseSuivre @denis_lessard",2018-10-31 05:00EST,Santé
"
Stéphane LaporteLa PresseSuivre @laportestephane",2018-10-31 05:00EST,Le clin d'oeil de Stéphane Laporte
"
Patrick LagacéLa PresseSuivre @kick1972",2018-10-31 05:00EST,Patrick Lagacé
"
Paul JournetLa PresseSuivre @PaulJournet",2018-10-31 05:00EST,Paul Journet
"
Marissa GroguhéLa Presse",2018-10-31 05:00EST,Politique verte
"
Agence France-PresseKaboul",2018-10-31 00:25EST,Moyen-Orient
"
SHERYL UBELACKERLa Presse CanadienneToronto",2018-10-31 00:34EST,Santé
"
Jean-Sébastien GagnonLa Presse",2018-10-31 06:11EST,Québec
"
Agence France-PressePékin",2018-10-31 06:27EST,International
"
GOHAR ABBASAgence France-PresseIslamabad",2018-10-31 06:40EST,Asie & Océanie
"
La Presse CanadienneCalgary",2018-10-31 06:42EST,Olympisme
"
CHRISTOPHER REYNOLDSLa Presse CanadienneMontréal",2018-10-31 06:53EST,Entreprises
"
Fanny LévesqueLa PresseSuivre @FannyLevesque",2018-10-31 07:04EST,Énergie et ressources
"
SAM PANTHAKY, ATISH PATELAgence France-PresseBarrage Sardar Sarovar",2018-10-31 07:15EST,Asie & Océanie
"
Daniel RenaudLa PresseSuivre @DanielRenaud13",2018-10-31 07:17EST,Affaires criminelles
"
Gabriel BélandLa PresseSuivre @gabrielbeland",2018-10-31 07:23EST,Régional
"
Agence France-PresseHérat",2018-10-31 07:23EST,Moyen-Orient
"
HARRY PEARLAgence France-PresseJakarta",2018-10-31 07:35EST,Asie & Océanie
"
FULYA OZERKAN, EZZEDINE SAIDAgence France-PresseIstanbul",2018-10-31 07:52EST,Europe
"
La Presse canadienneEdmundston",2018-10-31 07:55EST,Justice et faits divers
"
EMMANUEL AKINWOTUAgence France-PresseLagos",2018-10-31 08:06EST,Réseaux sociaux
"
La Presse CanadienneDunham",2018-10-31 08:18EST,Faits divers
"
DAVID PADDONLa Presse CanadienneToronto",2018-10-31 08:20EST,Entreprises
"
LUC OLINGAAgence France-PresseNew York",2018-10-31 08:41EST,Entreprises
"
THIBAUT MARCHANDAgence France-PresseMoscou",2018-10-31 08:44EST,Astronomie et espace
"
La Presse CanadienneMontréal",2018-10-31 08:46EST,Entreprises
"
Stéphanie ValletLa Presse",2018-10-31 09:05EST,Télévision
"
Stéphanie ValletLa Presse",2018-10-31 09:07EST,Humour et variétés
"
La Presse CanadienneOttawa",2018-10-31 09:12EST,Canada
"
Pierre-André NormandinLa PresseSuivre @PaNormandin",2018-10-31 09:10EST,Grand Montréal
"
Nadielle KutluCollaboration spécialeLa Presse",2018-10-31 09:20EST,Aubaines
"
Pierre-André NormandinLa PresseSuivre @PaNormandin",2018-10-31 09:29EST,Grand Montréal
"
Marie-Eve FournierLa PresseSuivre @mevefournier",2018-10-31 09:34EST,Agroalimentaire
"
Iris Gagnon-ParadisLa Presse",2018-10-31 09:35EST,Restaurants
"
Marie-Claude LortieLa PresseSuivre @mclortie",2018-10-31 09:38EST,Gourmand
"
Richard LabbéLa Presse",2018-10-31 09:38EST,Hockey
"
Miguel BujoldLa PresseSuivre @MiguelBujold",2018-10-31 09:44EST,Football
"
Agence France-PresseVienne",2018-10-31 09:56EST,Europe
"
Associated PressWhite Plains",2018-10-31 10:03EST,Tennis
"
AGENCE FRANCE-PRESSE, LA PRESSE CANADIENNE",2018-10-31 10:06EST,Marchés
"
Alexis Bélanger-ChampagneLa Presse Canadienne",2018-10-31 10:08EST,Soccer
"
Caroline TouzinLa PresseSuivre @ctouzin",2018-10-31 10:14EST,Santé
"
FULYA OZERKAN, EZZEDINE SAIDAgence France-PresseIstanbul",2018-10-31 10:23EST,Europe
"
Agence France-PresseBruxelles",2018-10-31 10:37EST,Politique verte
"
ALEKSANDRA SAGANLa Presse Canadienne",2018-10-31 10:40EST,Entreprises
"
Agence France-PresseWashington",2018-10-31 10:46EST,États-Unis
"
Associated PressLondres",2018-10-31 10:46EST,Réseaux sociaux
"
La Presse",2018-10-31 10:52EST,Humour et variétés
"
Josée LapointeLa Presse",2018-10-31 10:53EST,Coup de coeur francophone
"
Jean SiagLa PresseSuivre @jeansiag",2018-10-31 10:58EST,BD et livres jeunesse
"
Mathias BrunetLa PresseSuivre @mathiasbrunet",2018-10-31 11:00EST,Mathias Brunet
"
La Presse CanadienneParis",2018-10-31 11:10EST,Tennis
"
Agence France-PresseWashington",2018-10-31 11:12EST,États-Unis
"
VICTORIA AHEARNLa Presse CanadienneToronto",2018-10-31 11:12EST,Entrevues
"
CAROLINE ST-PIERRELa Presse CanadienneMontréal",2018-10-31 11:16EST,Santé
"
Associated PressBoston",2018-10-31 11:16EST,Baseball
"
La Presse",2018-10-31 11:21EST,Musique
"
Chantal GuyLa PresseSuivre @ChantalGuy",2018-10-31 11:23EST,Critiques de livres
"
Associated PressJacksonville",2018-10-31 11:26EST,Football
"
Chantal GuyLa PresseSuivre @ChantalGuy",2018-10-31 11:28EST,Critiques de livres
"
Chantal GuyLa PresseSuivre @ChantalGuy",2018-10-31 11:31EST,Critiques de livres
"
Agence France-PresseDubaï",2018-10-31 11:31EST,Moyen-Orient
"
Denis LessardLa PresseSuivre @denis_lessard",2018-10-31 11:47EST,Politique québécoise
"
Tommy ChouinardLa PresseSuivre @ChouinardT",2018-10-31 11:58EST,Santé
"
Mathias BrunetLa PresseSuivre @mathiasbrunet",2018-10-31 11:58EST,Hockey
"
Associated PressNashville",2018-10-31 12:07EST,Hockey
"
PHILIP MARCELOAssociated PressBoston",2018-10-31 12:12EST,Baseball
"
Agence France-PresseMadrid",2018-10-31 12:13EST,Europe
"
Gabriel BélandLa PresseSuivre @gabrielbeland",2018-10-31 12:17EST,Régional
"
La Presse CanadienneToronto",2018-10-31 12:22EST,Entreprises
"
Bruno BissonLa Presse",2018-10-31 12:35EST,Grand Montréal
"
JULIEN ARSENAULTLa Presse Canadienne",2018-10-31 12:44EST,Commerce de détail
"
La Presse Canadienne",2018-10-31 12:46EST,Football
"
DELIL SOULEIMANAgence France-PresseQamichli",2018-10-31 12:53EST,Moyen-Orient
"
Agence France-PresseBangkok",2018-10-31 13:04EST,Mode
"
Agence France-PresseParis",2018-10-31 13:07EST,Gourmand
"
LEILA MACOR AVEC JEROME CARTILLIER À WASHINGTONAgence France-PresseFort Myers",2018-10-31 13:10EST,États-Unis
"
Violaine BallivyLa PresseSuivre @vioballivy",2018-10-31 13:12EST,Gourmand
"
Violaine BallivyLa PresseSuivre @vioballivy",2018-10-31 13:17EST,Viande et poisson
"
CAROLINE PLANTELa Presse CanadienneQuébec",2018-10-31 13:18EST,Politique québécoise
"
Agence France-PresseMexico",2018-10-31 13:24EST,Amérique latine
"
MÉLANIE MARQUISLa Presse CanadienneOttawa",2018-10-31 13:27EST,Politique canadienne
"
VIRGINIE MONTETAgence France-PresseWashington",2018-10-31 13:30EST,États-Unis
"
La Presse",2018-10-31 13:40EST,Famille
"
La Presse CanadienneOttawa",2018-10-31 13:43EST,Canada
"
Le Soleil",2018-10-31 13:45EST,Procès
"
PATRICE BERGERONLa Presse CanadienneQuébec",2018-10-31 13:52EST,Politique
"
Associated PressKansas City",2018-10-31 14:02EST,Insolite
"
Stéphanie ValletLa Presse",2018-10-31 14:07EST,Danse
"
Maxime BergeronLa PresseSuivre @maxbergeron",2018-10-31 14:09EST,Politique canadienne
"
André DuchesneLa Presse",2018-10-31 14:11EST,Livres
"
Agence France-PresseParis",2018-10-31 14:21EST,Découvertes
"
Agence France-PresseParis",2018-10-31 14:27EST,Astronomie et espace
"
La Presse Canadienne",2018-10-31 14:32EST,Sports de combat
"
Mathieu PerreaultLa Presse",2018-10-31 14:37EST,Découvertes
"
Agence France-PresseWashington",2018-10-31 14:40EST,États-Unis
"
Agence France-PresseSan Francisco",2018-10-31 14:48EST,Réseaux sociaux
"
Associated PressBloomfield",2018-10-31 15:02EST,Nouvelles
"
Agence France-PresseRio de Janeiro",2018-10-31 15:05EST,Amérique latine
"
La Presse CanadienneMontréal",2018-10-31 15:09EST,Faits divers
